City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
43,Ilhabela,BR,74.14,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
47,Atuona,PF,77.34,light rain,-9.8,-139.0333,Villa Enata
49,Faanui,PF,81.48,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Hurghada,EG,56.86,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
51,Kirakira,SB,82.94,overcast clouds,-10.4544,161.9205,SanBiz Lodge
53,Ibicarai,BR,70.14,overcast clouds,-14.865,-39.5875,Pousada Patioba
54,Mar Del Plata,AR,60.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
56,Mahebourg,MU,84.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
59,Saint-Philippe,RE,85.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
60,Richards Bay,ZA,76.23,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
61,Adrar,MR,57.81,overcast clouds,20.5022,-10.0711,
62,Pemba,MZ,77.83,moderate rain,-12.974,40.5178,Guesthouse Samotina
63,Rio Novo,BR,67.1,clear sky,-21.4575,-43.1253,Pousada Nossa Terra
64,Hilo,US,71.26,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
67,Arraial Do Cabo,BR,75.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
72,San Rafael Del Sur,NI,79.07,clear sky,11.8485,-86.4384,Hospedaje El Chino
74,Kaeo,NZ,72.75,few clouds,-35.1,173.7833,Bushido Lodge
75,Cape Town,ZA,68.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
76,Geraldton,AU,86.41,few clouds,-28.7667,114.6,Broadwater Mariner Resort
77,Port Alfred,ZA,67.66,light rain,-33.5906,26.891,The Halyards Hotel
79,Ashqelon,IL,56.41,overcast clouds,31.6693,34.5715,Leonardo Ashkelon
81,Ferrol,ES,51.57,broken clouds,43.4832,-8.2369,Parador de Ferrol
83,Hithadhoo,MV,82.36,broken clouds,-0.6,73.0833,Scoop Guest House
86,Antalaha,MG,78.42,broken clouds,-14.9003,50.2788,Hotel Vitasoa
87,Ndele,CF,66.51,overcast clouds,8.4109,20.6473,
91,Noumea,NC,88.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
92,Palu,ID,81.86,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
93,Nouadhibou,MR,65.1,overcast clouds,20.931,-17.0347,El Medina
94,Jalu,LY,50.86,clear sky,29.0331,21.5482,صاحبة الفخامة
