City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Mingshui,CN,36.7167,117.5,33.89,43,100,8.55,overcast clouds
165,Tweed,CA,44.4751,-77.3162,5.14,71,100,4.83,overcast clouds
166,Lasa,IT,46.6166,10.7002,25.02,70,6,1.77,clear sky
167,Anklam,DE,53.8564,13.6897,38.05,72,96,16.24,overcast clouds
168,Tautira,PF,-17.7333,-149.15,80.62,77,83,16.31,light rain
169,Oranjemund,NA,-28.55,16.4333,63.9,93,19,5.46,few clouds
170,Te Anau,NZ,-45.4167,167.7167,70.54,44,100,1.63,overcast clouds
171,Lewistown,US,40.5992,-77.5714,25.93,68,40,8.05,scattered clouds
172,Avera,US,33.194,-82.5271,42.67,38,0,12.82,clear sky
173,Nador,MA,35.174,-2.9287,61.05,48,0,9.22,clear sky
174,Gamba,GA,-2.65,10.0,77.18,86,94,0.87,light rain
175,Ternate,ID,0.8,127.4,83.03,70,83,5.44,broken clouds
176,Ushtobe,KZ,45.2514,77.9838,32.95,86,100,2.66,light snow
177,Eyl,SO,7.9803,49.8164,75.76,64,62,15.61,broken clouds
178,Raisen,IN,23.3333,77.8,68.9,19,2,6.91,clear sky
179,Lachi,PK,33.3833,71.3386,61.34,25,99,1.72,overcast clouds
180,Suoyarvi,RU,62.0833,32.35,32.41,97,100,10.96,overcast clouds
181,Abalak,RU,58.1286,68.5944,-3.42,98,99,3.74,overcast clouds
182,Pauini,BR,-7.7136,-66.9764,72.27,99,100,2.33,overcast clouds
183,Kahului,US,20.8947,-156.47,73.85,75,75,10.36,broken clouds
184,Cap Malheureux,MU,-19.9842,57.6142,84.47,75,100,10.0,overcast clouds
185,Megion,RU,61.0296,76.1136,-2.18,94,99,10.58,overcast clouds
186,Longyearbyen,SJ,78.2186,15.6401,7.79,96,98,1.97,overcast clouds
187,General Roca,AR,-39.0333,-67.5833,81.0,17,18,9.51,few clouds
188,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.89,91,100,0.92,overcast clouds
189,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,18.72,88,100,15.82,overcast clouds
190,Katsuura,JP,35.1333,140.3,44.71,63,100,21.7,overcast clouds
191,Fort-Shevchenko,KZ,44.5086,50.263,35.22,58,0,7.58,clear sky
192,Melfort,CA,52.8667,-104.6177,3.96,100,53,2.91,broken clouds
193,Meulaboh,ID,4.1363,96.1285,85.1,65,89,3.78,overcast clouds
194,Pontes E Lacerda,BR,-15.2261,-59.3353,71.38,97,100,1.9,overcast clouds
195,Tilichiki,RU,60.4667,166.1,-14.24,91,44,9.78,scattered clouds
196,Hambantota,LK,6.1241,81.1185,85.75,60,30,17.0,scattered clouds
197,Beroroha,MG,-21.6667,45.1667,82.27,53,17,7.81,few clouds
198,Peniche,PT,39.3558,-9.3811,53.92,84,7,16.84,clear sky
199,Hualmay,PE,-11.0964,-77.6139,70.63,83,99,7.27,overcast clouds
200,Atambua,ID,-9.1061,124.8925,83.01,66,10,2.21,clear sky
